"","�..Tipo","Bairro","Quartos","Vagas","Suites","Area","Valor","Condominio","IPTU"
"205","Casa Comercial","Botafogo",0,0,0,220,16000,NA,NA
"206","Apartamento","Campo Grande",2,0,0,60,1200,570,NA
"207","Apartamento","Flamengo",1,0,0,40,1900,430,54
"208","Box/Garagem","Tijuca",0,0,0,0,380,NA,NA
"209","Apartamento","Engenho de Dentro",3,1,1,61,1400,498,NA
"210","Apartamento","Copacabana",3,2,1,250,7000,1500,434
"211","Flat","Copacabana",1,1,0,63,3600,1215,NA
"212","Flat","Leblon",1,0,1,50,4500,1300,150
"213","Apartamento","Ipanema",3,2,1,200,15000,1500,572
"214","Apartamento","Copacabana",3,1,0,140,3700,1347,NA
"215","Loja/Salão","Maracanã",0,0,0,85,6500,NA,385
"216","Apartamento","Copacabana",2,0,0,50,2500,750,760
"217","Casa","Jardim Carioca",3,2,1,135,3000,NA,NA
"218","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,58,2100,495,140
"219","Apartamento","Tijuca",3,1,1,78,2500,730,178
"220","Conjunto Comercial/Sala","Copacabana",0,2,0,210,25200,6300,1890
"221","Quitinete","Centro",0,0,0,28,700,400,16
"222","Apartamento","Lagoa",3,1,1,75,4000,1250,309
"223","Conjunto Comercial/Sala","Tijuca",0,1,0,32,900,450,NA
"224","Apartamento","Recreio dos Bandeirantes",3,2,1,102,1850,882,NA
"225","Apartamento","Tijuca",1,0,0,65,1200,320,NA
"226","Apartamento","Barra da Tijuca",2,1,0,60,1500,1266,233
"227","Apartamento","Copacabana",4,1,2,210,13000,2200,650
"228","Apartamento","Maracanã",3,2,3,158,2400,1265,NA
"229","Apartamento","Barra da Tijuca",2,1,1,83,2000,1548,260
"230","Apartamento","Laranjeiras",5,2,1,400,9000,3000,NA
"231","Apartamento","Barra da Tijuca",3,1,1,84,1900,1103,212
"232","Apartamento","Freguesia (Jacarepaguá)",3,1,1,77,1600,850,165
"233","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,24,650,530,170
"234","Apartamento","São Conrado",4,4,4,510,25000,6600,NA
"235","Apartamento","Tijuca",3,0,0,75,1800,350,NA
"236","Apartamento","Ipanema",3,1,1,126,5500,1400,2000
"237","Casa","Lins de Vasconcelos",2,0,0,40,950,NA,50
"238","Apartamento","Leblon",4,2,2,250,17500,4990,620
"239","Conjunto Comercial/Sala","Botafogo",0,8,0,463,92600,11843,14355
"240","Conjunto Comercial/Sala","Centro",0,0,0,190,4500,886,NA
"241","Conjunto Comercial/Sala","Centro",0,0,0,185,3000,10046,462
"242","Conjunto Comercial/Sala","Centro",0,4,0,230,7000,3130,1202
"243","Conjunto Comercial/Sala","Centro",0,0,0,55,1760,1420,NA
"244","Apartamento","Copacabana",4,2,2,436,17000,3900,1000
"245","Conjunto Comercial/Sala","Recreio dos Bandeirantes",0,1,0,80,2800,560,NA
"246","Apartamento","Freguesia (Jacarepaguá)",3,3,2,173,3200,1800,NA
"247","Apartamento","Tijuca",2,1,1,71,1500,600,NA
"248","Apartamento","Barra da Tijuca",2,1,1,81,1900,1200,121
"249","Casa de Condomínio","Barra da Tijuca",4,2,4,595,30000,2500,2510
"250","Apartamento","Leblon",3,1,0,87,3800,970,273
"251","Loja/Salão","Copacabana",0,0,0,13,1500,520,95
"252","Loja/Salão","Barra da Tijuca",0,1,0,95,15000,1800,1000
"253","Conjunto Comercial/Sala","Centro",0,0,0,150,4000,2000,700
"254","Casa de Condomínio","Recreio dos Bandeirantes",4,4,4,267,6500,700,3308
"255","Apartamento","Laranjeiras",4,1,2,288,7000,1870,582
"256","Conjunto Comercial/Sala","Barra da Tijuca",0,1,0,25,1000,450,NA
"257","Apartamento","Recreio dos Bandeirantes",1,1,1,102,1900,688,NA
"258","Apartamento","Leblon",2,1,0,70,4200,1100,200
"259","Apartamento","Cidade Nova",1,0,0,46,1000,NA,NA
"260","Apartamento","Pilares",3,0,0,65,1200,350,16
"261","Loja/Salão","Barra da Tijuca",0,1,0,50,1100,1338,NA
"262","Apartamento","Barra da Tijuca",3,3,2,169,6500,1886,450
"263","Quitinete","Copacabana",1,0,0,23,1000,562,NA
"264","Apartamento","Laranjeiras",3,1,1,90,2400,1311,NA
"265","Apartamento","Tijuca",2,0,0,50,1800,347,25
"266","Apartamento","Olaria",1,0,0,39,800,NA,NA
"267","Apartamento","Ipanema",3,1,1,140,6500,1800,506
"268","Apartamento","Campo Grande",2,0,0,60,800,380,NA
"269","Apartamento","Ipanema",4,1,1,170,12000,1210,4222
"270","Casa","Tijuca",4,1,1,191,4000,300,NA
"271","Apartamento","Centro",1,0,0,35,1350,420,24
"272","Apartamento","Tijuca",2,0,0,63,1400,440,61
"273","Casa de Condomínio","São Conrado",3,2,1,250,5500,750,500
"274","Apartamento","Copacabana",3,1,0,112,3800,1123,286
"275","Loja/Salão","Barra da Tijuca",0,8,0,500,38000,NA,4971
"276","Apartamento","Leblon",3,0,1,85,8500,NA,1719
"277","Apartamento","Tijuca",3,1,0,129,1800,850,116
"278","Apartamento","Barra da Tijuca",4,3,3,160,8600,2300,250
"279","Conjunto Comercial/Sala","Centro",0,0,0,100,2800,1500,490
